id,host_id,booking_id,name,neighbourhood_group,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
429453,1224813,400,Sunny Bedroom #2 w/View: Wallingfrd,Other neighborhoods,Seattle,WA,98103,47.6516632,-122.339685,House,Private room,2,2.5,1,1,Real Bed,f,strict,f,f,14,2012-04-23,2015-11-22,100,10,10,10,10,10,10,0.31
443580,2203746,845,Sweet Cabin @ the Cherry Hill House,Central Area,Seattle,WA,98122,47.60663951,-122.3081398,Cabin,Private room,2,1,1,1,Real Bed,t,strict,t,t,99,2012-06-07,2015-12-19,86,9,9,9,9,9,9,2.27
444221,2203746,837,Cozy Bedroom @ Cherry Hill House,Central Area,Seattle,WA,98122,47.60552279,-122.3075301,House,Private room,2,1,1,1,Real Bed,t,strict,t,t,79,2012-06-30,2015-12-19,88,9,9,9,9,9,9,1.85
447523,2222321,3248,Bedroom in artistic Northwest home,Other neighborhoods,Seattle,WA,98115,47.68523247,-122.2894346,House,Private room,2,1,1,1,Real Bed,f,strict,f,f,93,2012-06-24,2015-11-15,93,9,9,10,9,9,9,2.16
486344,2373847,2385,Quiet West Seattle Room,Delridge,Seattle,WA,98106,47.55818064,-122.363045,House,Private room,1,1.5,1,1,Real Bed,f,strict,t,t,45,2012-06-27,2015-10-08,95,10,9,10,10,9,10,1.05
486829,2409388,2529,Cascadia Room Near UW & Childrens ,Other neighborhoods,Seattle,WA,98105,47.66450162,-122.2838147,House,Private room,2,1,1,1,Real Bed,f,strict,t,t,53,2012-06-08,2015-07-01,92,9,9,10,10,9,9,1.22
535300,2347819,1129,Private Eastlake - Steps to Lake.,Cascade,Seattle,WA,98102,47.64097356,-122.3285731,Apartment,Private room,2,1,1,1,Real Bed,f,strict,f,f,115,2012-06-29,2015-11-16,92,9,9,10,10,10,9,2.68
555858,1650960,920,Luxury Studio near Downtown Seattle,Central Area,Seattle,WA,98122,47.61014851,-122.3092557,House,Private room,2,1,1,1,Real Bed,f,strict,t,t,13,2012-06-29,2015-09-26,90,9,9,9,9,9,9,0.3
571640,862329,2077,Sleeps 3 Comfy Near Downtown SEA,Beacon Hill,Seattle,WA,98144,47.57618629,-122.3038672,House,Private room,3,1,1,2,Real Bed,f,strict,t,t,7,2012-07-24,2015-06-28,90,8,9,10,10,8,9,0.17
571651,862329,2080,Queen Size Bed Near Downtown SEA,Beacon Hill,Seattle,WA,98144,47.57778726,-122.3027908,House,Private room,2,1,1,1,Real Bed,f,strict,t,t,4,2013-12-14,2014-03-01,86,9,8,10,10,8,8,0.16
598023,2613029,1911,West Seattle Home near Junction,West Seattle,Seattle,WA,98116,47.56280118,-122.3870543,House,Private room,1,1,1,1,Real Bed,f,strict,t,t,8,2013-08-11,2015-08-11,98,9,10,10,10,10,9,0.27
607788,103427,1496,"condo Seattle, Wa.",Downtown,Seattle,WA,98101,47.61313536,-122.3317637,Apartment,Private room,6,2,1,3,Real Bed,f,strict,f,f,2,2012-07-27,2013-10-17,83,4,8,10,10,10,6,0.05
610989,3029318,480,Inn of Twin Gables - North Room,Queen Anne,Seattle,WA,,47.64939343,-122.3755835,Bed & Breakfast,Private room,2,1,1,1,Real Bed,f,strict,f,f,1,2013-09-16,2013-09-16,100,10,10,10,10,10,10,0.04
613020,3040367,2061,Fabulous view and Great location,West Seattle,Seattle,WA,98136,47.51855219,-122.3911882,House,Private room,2,1,1,2,Real Bed,f,strict,f,f,105,2012-07-30,2015-08-15,97,10,10,10,10,10,10,2.51
613151,862329,2078,2BdRm 1Bath Shared Near Dwntwn SEA,Beacon Hill,Seattle,WA,98144,47.57608515,-122.3040271,House,Private room,6,1,1,4,Real Bed,f,strict,t,t,4,2012-08-19,2013-12-04,87,8,7,6,6,7,7,0.1
656909,2409388,2551,Olympia Room by UW & Childrens Hosp,Other neighborhoods,Seattle,WA,98105,47.66566399,-122.2856767,House,Private room,2,1,1,1,Real Bed,f,strict,t,t,22,2012-10-23,2014-11-03,96,10,10,10,10,9,10,0.56
668169,946910,399,"Quiet Greenlake house, large room",Other neighborhoods,Seattle,WA,98103,47.66642488,-122.3349052,House,Private room,3,1,1,2,Real Bed,f,strict,f,f,16,2012-09-03,2015-08-25,93,9,9,10,10,10,10,0.39
677266,30559,3480,Toulouse room/Parisian charm cozy,Other neighborhoods,Seattle,WA,98108,47.54948235,-122.3177878,House,Private room,2,3,1,1,Real Bed,f,strict,t,t,59,2012-09-18,2015-11-25,92,9,9,9,9,9,9,1.47
685600,3497328,1188,Steps from magical Discovery Park-1,Magnolia,Seattle,WA,98199,47.65513059,-122.4078177,House,Private room,2,1,1,1,Real Bed,f,strict,f,f,8,2014-08-10,2015-05-04,100,10,9,10,10,10,10,0.47
689309,3520873,3650,Elegance and Coziness in Broadview,Other neighborhoods,Seattle,WA,98133,47.72272664,-122.3566843,House,Private room,2,1,1,1,Real Bed,f,strict,f,f,5,2013-01-09,2014-04-14,100,10,10,10,10,10,10,0.14
762029,4016632,64,Hand crafted Gypsy Wagon with heart,Queen Anne,Seattle,WA,98119,47.64152493,-122.3761504,Camper/RV,Private room,2,1,1,2,Real Bed,f,strict,t,t,191,2012-11-05,2016-01-01,97,10,10,10,10,9,10,4.96
