id,price,weekly_price,monthly_price,guests_included,extra_people,security_deposit,cleaning_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365
3403,$95.00 ,$615.00 ,,3,$20.00 ,$150.00 ,$50.00 ,3,21,t,30,60,90,365
3404,$85.00 ,,,2,$20.00 ,$150.00 ,$40.00 ,3,21,t,30,60,90,365
3405,$52.00 ,$350.00 ,"$1,500.00 ",1,$20.00 ,$500.00 ,$20.00 ,1,1125,t,30,60,90,364
3406,$105.00 ,,,2,$25.00 ,$150.00 ,,2,1125,t,5,24,38,107
3407,$100.00 ,$700.00 ,,2,$20.00 ,$100.00 ,$25.00 ,2,1125,t,26,56,86,361
3408,$110.00 ,,,4,$50.00 ,$300.00 ,$50.00 ,20,65,t,0,0,0,30
3409,$67.00 ,,,1,$0.00 ,,,1,1125,t,22,50,80,169
3410,$75.00 ,,"$2,750.00 ",2,$10.00 ,$150.00 ,,2,35,t,20,50,80,169
3411,$69.00 ,$575.00 ,"$2,500.00 ",2,$0.00 ,$200.00 ,$75.00 ,3,30,t,29,52,82,357
3412,$96.00 ,$750.00 ,"$2,800.00 ",1,$0.00 ,,$10.00 ,2,1125,t,16,46,76,104
3413,$60.00 ,,$800.00 ,1,$0.00 ,,,1,1125,t,0,0,0,125
3414,$95.00 ,,,2,$15.00 ,,$20.00 ,1,1125,t,20,36,66,341
3415,$100.00 ,$450.00 ,"$1,879.00 ",2,$30.00 ,,$50.00 ,3,1125,t,30,60,90,365
3416,$55.00 ,,,1,$10.00 ,,$10.00 ,3,30,t,30,60,89,89
3417,$130.00 ,$750.00 ,"$2,500.00 ",2,$0.00 ,,$50.00 ,1,1125,t,29,59,89,178
3418,$125.00 ,,"$2,200.00 ",1,$0.00 ,$500.00 ,$75.00 ,2,365,t,0,22,38,172
3419,$300.00 ,,,6,$100.00 ,"$1,500.00 ",$200.00 ,4,1125,t,0,6,21,61
3420,$200.00 ,"$1,200.00 ","$4,800.00 ",2,$10.00 ,$175.00 ,$75.00 ,3,1125,t,30,60,90,365
3421,$400.00 ,,,1,$0.00 ,$500.00 ,$250.00 ,3,1125,t,27,53,79,304
3422,$165.00 ,$990.00 ,"$3,900.00 ",3,$30.00 ,$200.00 ,$75.00 ,3,90,t,30,55,85,317
3423,$117.00 ,$720.00 ,,2,$15.00 ,$100.00 ,$35.00 ,1,1125,t,30,60,90,365
3424,$85.00 ,$525.00 ,"$1,950.00 ",1,$0.00 ,$150.00 ,$25.00 ,2,1125,t,18,36,66,155
3425,$115.00 ,$735.00 ,,1,$0.00 ,$100.00 ,$35.00 ,2,1125,t,30,60,90,365
3426,$62.00 ,$475.00 ,"$1,637.00 ",1,$10.00 ,$200.00 ,$40.00 ,1,1125,t,30,60,90,365
3427,$100.00 ,,,2,$20.00 ,,,2,1125,t,16,39,69,344
3428,$100.00 ,,,1,$0.00 ,,,1,1125,t,0,0,0,247
3429,$60.00 ,,,1,$10.00 ,,,2,15,t,24,52,82,357
3430,$185.00 ,"$1,100.00 ","$3,100.00 ",4,$20.00 ,$100.00 ,$100.00 ,3,30,t,0,28,58,146
3431,$99.00 ,,,1,$0.00 ,,$30.00 ,1,1125,t,22,52,82,357
3432,$200.00 ,"$1,000.00 ","$3,000.00 ",4,$20.00 ,$200.00 ,$25.00 ,2,1125,t,30,60,90,365
3433,$125.00 ,$800.00 ,"$3,200.00 ",2,$10.00 ,$200.00 ,,1,1125,t,30,60,90,179
3434,$60.00 ,,,1,$0.00 ,,$10.00 ,1,1125,t,0,0,0,130
3435,$100.00 ,,,2,$25.00 ,,$50.00 ,4,1125,t,1,7,37,312
3436,$55.00 ,,,1,$0.00 ,$200.00 ,$20.00 ,1,12,t,14,44,56,56
3437,$550.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,365
3438,$75.00 ,,,1,$0.00 ,,,2,5,t,23,53,83,356
3439,$95.00 ,,,1,$10.00 ,$150.00 ,,1,30,t,30,60,90,365
3440,$150.00 ,,,1,$0.00 ,$95.00 ,$30.00 ,1,10,t,30,60,90,365
3441,$110.00 ,$700.00 ,"$2,700.00 ",2,$0.00 ,$150.00 ,$35.00 ,1,1125,t,30,60,83,357
3442,$228.00 ,"$1,900.00 ",,1,$0.00 ,$500.00 ,$95.00 ,2,1125,t,30,60,90,361
3443,$110.00 ,,,4,$20.00 ,$100.00 ,$112.00 ,2,15,t,16,42,72,289
3444,$950.00 ,,,6,$100.00 ,$250.00 ,,3,1125,t,30,60,90,365
3445,$225.00 ,"$1,575.00 ","$5,500.00 ",1,$0.00 ,$500.00 ,$165.00 ,7,1125,t,30,60,90,364
3446,$125.00 ,$750.00 ,"$3,000.00 ",4,$15.00 ,,$110.00 ,1,1125,t,30,50,80,223
3447,$68.00 ,$400.00 ,"$1,600.00 ",1,$80.00 ,,$30.00 ,3,1125,t,30,60,90,365
3448,$250.00 ,,,1,$0.00 ,$300.00 ,$50.00 ,2,6,t,30,60,90,362
3449,$150.00 ,"$1,000.00 ","$3,000.00 ",1,$0.00 ,$100.00 ,$40.00 ,2,90,t,24,53,83,349
3450,$48.00 ,,,1,$10.00 ,,$12.00 ,2,1125,t,0,0,0,53
3451,$330.00 ,,,6,$0.00 ,$250.00 ,$90.00 ,3,28,t,30,55,85,184
3452,$125.00 ,$800.00 ,"$2,800.00 ",1,$0.00 ,$100.00 ,$40.00 ,2,90,t,6,36,66,341
3453,$350.00 ,,,1,$0.00 ,,,2,3,t,0,0,0,2
3454,$80.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,365
3455,$70.00 ,$500.00 ,"$1,350.00 ",2,$20.00 ,$500.00 ,,1,1125,t,30,60,90,365
3456,$70.00 ,$550.00 ,"$1,350.00 ",2,$10.00 ,$500.00 ,,1,30,t,30,60,90,365
3457,$72.00 ,$600.00 ,"$1,500.00 ",2,$25.00 ,$100.00 ,$10.00 ,1,30,t,23,53,83,358
3458,$99.00 ,,"$1,995.00 ",2,$10.00 ,,$25.00 ,4,1125,t,2,32,62,337
3459,$78.00 ,$567.00 ,"$1,848.00 ",2,$7.00 ,$500.00 ,$25.00 ,1,1125,t,26,56,86,361
3460,$300.00 ,"$1,600.00 ","$1,600.00 ",1,$0.00 ,,,1,1125,t,30,60,90,365
3461,$250.00 ,"$1,500.00 ",,5,$25.00 ,$200.00 ,$50.00 ,2,14,t,0,0,28,303
3462,$39.00 ,$350.00 ,"$1,360.00 ",1,$6.00 ,,$10.00 ,1,1125,t,7,27,53,324
3463,$95.00 ,,"$2,800.00 ",2,$0.00 ,"$1,500.00 ",,30,365,t,23,53,83,249
3464,$97.00 ,$567.00 ,,1,$0.00 ,,,1,1,t,15,45,75,350
3465,$102.00 ,$685.00 ,"$2,600.00 ",1,$0.00 ,"$1,500.00 ",$199.00 ,3,1125,t,30,60,90,365
3466,$60.00 ,$450.00 ,,1,$0.00 ,,,1,1125,t,30,51,76,351
3467,$49.00 ,,,2,$25.00 ,$250.00 ,$25.00 ,1,1125,t,29,59,89,364
3468,$60.00 ,$380.00 ,"$1,700.00 ",2,$10.00 ,,,1,1125,t,16,16,16,32
3469,$79.00 ,,,1,$0.00 ,,$20.00 ,2,1125,t,24,54,84,359
3470,$76.00 ,$488.00 ,"$1,650.00 ",2,$0.00 ,$200.00 ,$50.00 ,2,60,t,17,26,55,55
